search_keyword,brand,name,product_url,image_url,original_price,discounted_price,rating,reviews,available_sizes
white shirt,SHAYE,White Buttondown Shirt,https://www.nykaafashion.com/shaye-white-buttondown-shirt/p/4211618,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/a/a/aa58_1_041185dd.jpg,₹900,"1,799",4.1,good,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock)
white shirt,Uptownie Lite,White Hearts Embroidered Cotton Shirt,https://www.nykaafashion.com/uptownie-lite-white-hearts-embroidered-cotton-shirt/p/16433146,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/1/8/18dc263ULSS24TP18-42White_1.jpg,"₹1,575","2,499",3.5,Take one size small,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock); 3XL (In Stock); 4XL (In Stock)
white shirt,DL WOMAN,White Full Sleeves Oversized Solid Casual Shirt,https://www.nykaafashion.com/dl-woman-white-full-sleeves-oversized-solid-casual-shirt/p/16046781,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/4/c/4cc302fDLWSHW23011WH_1.jpg,"₹1,036","2,799",4.2,No reviews,S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
white shirt,High Star,Long Sleeves Solid Oversized Casual Shirt,https://www.nykaafashion.com/high-star-women-white-long-sleeves-solid-oversized-casual-shirt/p/12465817,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/f/5/f5b8a9fDHIGHS00003570_1.jpg,₹943,"2,299",4.0,No reviews,S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
white shirt,AAREIN,Self Design Shirt Collar Schiffli Cotton White Shirt,https://www.nykaafashion.com/athena-self-design-shirt-collar-schiffli-cotton-white-shirt/p/16173652,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/0/1/01c3840ATP14089_1.jpg,₹935,"1,699",N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
white shirt,The Souled Store,Cotton Linen: Lucky Clover White Shirt,https://www.nykaafashion.com/the-souled-store-cotton-linen-lucky-clover-white-shirt/p/21112332,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/c/c/cc9ed90310201_1.jpg,"₹1,600","1,999",N/A,No reviews,XXS (In Stock); XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock); 3XL (In Stock)
white shirt,VERO MODA,White Embroidered Cotton Shirt,https://www.nykaafashion.com/vero-moda-white-embroidered-cotton-shirt/p/18950062,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/2/6/2633e02900848401_1.jpg,"₹2,450","3,499",N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock)
white shirt,FableStreet,Cotton Knitted Shirt -White,https://www.nykaafashion.com/fablestreet-cotton-knitted-shirt-white/p/2571857,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/6/a/6a9aac9FBS01438_1.jpg,"₹1,136","1,695",3.9,Yayy,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
white shirt,Campus Sutra,Charcoal Grey and Off White Multitrack-Striped Oversized Shirt,https://www.nykaafashion.com/campus-sutra-charcoal-grey-and-off-white-multitrack-striped-oversized-shirt/p/18118438,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/4/0/4028176SSSW24CSWSSRT7548_1.jpg,₹795,"1,499",3.9,I really liked the look and feel. summer friendly breathable material.,S (In Stock); M (In Stock); L (In Stock); XL (In Stock)
white shirt,Cider,Cotton V-neck Collar Floral Patched Corset Long Sleeve Blouse,https://www.nykaafashion.com/cider-cotton-v-neck-collar-floral-patched-corset-long-sleeve-blouse/p/17910683,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/7/e/7ef2030CD20240618498944LD-White_1.jpg,"₹4,593","4,899",4.0,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock)
black dress,Twenty Dresses by Nykaa Fashion,Black Frill Around Me Dress,https://www.nykaafashion.com/twenty-dresses-by-nykaa-fashion-black-frill-around-me-dress/p/5304935,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/4/e/4e9aa48TWN_TWENT00013335_1.jpg,"₹1,516","1,895",4.3,"product was awesome. it fits so well, Go for the correct size (your original size)",XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
black dress,RARE,Women Black Collar Neck Colorblock Mini Dress,https://www.nykaafashion.com/rare-women-black-collar-neck-colorblock-mini-dress/p/16087353,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/2/d/2d8ac8bEP8134B_1.jpg,₹936,"2,399",N/A,No reviews,S (In Stock); M (In Stock); L (In Stock); XL (In Stock)
black dress,VERO MODA,Black Fit and Flare Mini Dress,https://www.nykaafashion.com/vero-moda-black-fit-and-flare-mini-dress/p/17862853,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/5/4/540dad9900716201_1.jpg,"₹2,800","3,999",4.7,Good,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock)
black dress,MIXT by Nykaa Fashion,Black Solid Square Neck Skater Mini Denim Dress,https://www.nykaafashion.com/mixt-by-nykaa-fashion-black-solid-square-neck-skater-mini-denim-dress-m/p/14006903,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/a/1/a1dd7d8DR051942_1.jpg,₹804,"2,295",3.8,Fits a little lose at the chest,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock)
black dress,RSVP by Nykaa Fashion,Black Solid Asymmetric Tube Short Dress,https://www.nykaafashion.com/rsvp-by-nykaa-fashion-black-solid-asymmetric-tube-short-dress/p/16225404,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/8/2/822fc1fDR022147_1.jpg,"₹2,597","3,995",3.6,Chest was loose but waist was fine,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
black dress,Puma,WARDROBE ESS Womens Black Dress,https://www.nykaafashion.com/puma-wardrobe-ess-womens-black-dress/p/18979730,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/0/2/02e09b563074301-Black_1.jpg,"₹1,500","2,999",N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock)
black dress,PICCOLO,Bow Detailed Sleeveless Dress-Black,https://www.nykaafashion.com/piccolo-bow-detailed-sleeveless-dress-black/p/15174008,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/a/b/abd7bf3NK_PICCO00003046_1.jpg,"₹1,299","2,598",3.6,Pretty pretty,2-3 Years (In Stock); 3-4 Years (In Stock); 4-5 Years (In Stock); 5-6 Years (In Stock); 6-7 Years (In Stock); 7-8 Years (In Stock); 8-9 Years (In Stock); 9-10 Years (In Stock); 10-11 Years (In Stock)
black dress,RSVP by Nykaa Fashion,Black & Blue Jacquard Balloon Sleeves Mini Dress,https://www.nykaafashion.com/rsvp-by-nykaa-fashion-black-blue-jacquard-balloon-sleeves-mini-dress/p/10225921,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/9/4/945eb84DR021615_1.jpg,"₹2,876","3,595",4.2,i love the look,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
black dress,MISH,Black Scuba Fit And Flare Short Dress,https://www.nykaafashion.com/mish-black-scuba-fit-and-flare-short-dress/p/10502625,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/f/b/fbdc89d1311_1.jpg,"₹1,000","1,999",3.7,"Product is good, and its a True Party wear Dress.",XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
black dress,Oxolloxo,Women Floral Mini Dress - Black,https://www.nykaafashion.com/oxolloxo-women-floral-mini-dress-black/p/19888911,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/e/4/e4d7ee1W24116WDR002_1.jpg,₹752,"2,349",N/A,No reviews,S (In Stock); M (In Stock); L (In Stock); XL (In Stock)
denim jeans,Off Duty India,Not Your Daddy's Straight Leg Jeans-Light Blue,https://www.nykaafashion.com/off-duty-india-not-your-daddy-s-straight-leg-jeans-light-blue/p/14494480,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/d/5/d58425fA-1528_1.jpg,N/A,N/A,3.5,It looks great,24 (In Stock); 26 (In Stock); 28 (In Stock); 30 (In Stock); 32 (In Stock); 34 (In Stock)
denim jeans,Miss Chase,Women Light Blue Wide-Leg High-Rise Regular Stretchable Jeans,https://www.nykaafashion.com/miss-chase-women-light-blue-wide-leg-high-rise-regular-stretchable-jeans/p/19000964,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/2/2/22c8f11DMISAA00018995_1.jpg,"₹1,396","3,245",N/A,No reviews,26 (In Stock); 28 (In Stock); 30 (In Stock); 32 (In Stock); 34 (In Stock); 36 (In Stock); 38 (In Stock)
