search_term,brand_name,current_price,product_rating,product_title,original_price,sale_price,discount_percent,category_path,product_link,image_link,review_count,size_options
white shirt,U.S. Polo Assn.,Rs. 1674,"4.2
|
97",Men Solid Casual Shirts,Rs. 2499,Rs. 1674,(33% OFF),White Shirt,https://www.myntra.com/shirts/u.s.+polo+assn./us-polo-assn-men-classic-spread-collar-solid-cotton-casual-shirt/30650432/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/20/unBDSYJy_784769d2d99249bf9dd613fe90f0d3be.jpg","|
97",N/A
white shirt,The Collection,Rs. 1499,N/A,Men Solid Cotton Formal Shirt,Rs. 2999,Rs. 1499,(50% OFF),White Shirt,https://www.myntra.com/shirts/the+collection/the-collection-men-classic-fit-solid-spread-collar-cotton-formal-shirt/34629688/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/31/nuQZXK74_fc9d6f0fea7a4234b5337668b01ec72e.jpg",N/A,N/A
white shirt,NOT SO PINK,Rs. 1724,"4
|
8",Women Shirt,Rs. 2299,Rs. 1724,(25% OFF),White Shirt,https://www.myntra.com/shirts/not+so+pink/not-so-pink-women-white-shirt/20660840/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20660840/2022/12/6/71b9dd20-a53d-4a06-a08f-c01e214a49cb1670297421337NOTSOPINKWomenWhiteCasualShirt1.jpg","|
8",N/A
white shirt,The Collection,Rs. 1799,"5
|
5",Classic Formal Shirt,Rs. 2999,Rs. 1799,(40% OFF),White Shirt,https://www.myntra.com/shirts/the+collection/the-collection-men-classic-formal-slim-fit-shirt/33145241/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/10/IgM2N0Jk_5c0efaf660184005bd7fae2d7480c832.jpg","|
5",N/A
white shirt,RAREISM,Rs. 1624,N/A,Women Primary White Shirt,Rs. 2499,Rs. 1624,(35% OFF),White Shirt,https://www.myntra.com/shirts/rareism/rareism-women-primary-white-shirt/33526679/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/9/PEc5eNQs_6452acfb68bc4a4faa706d973a9c0cee.jpg",N/A,N/A
white shirt,RARE RABBIT,N/A,N/A,Casual Shirt,N/A,N/A,N/A,White Shirt,https://www.myntra.com/shirts/rare+rabbit/rare-rabbit-men-comfort-floral-printed-casual-shirt/34098682/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/10/x0Czzz8M_e6c940f78fdc4e138cce8f77da996413.jpg",N/A,N/A
white shirt,KINGDOM OF WHITE,Rs. 2049,"4.3
|
99",Pure Cotton Stay White Shirt,Rs. 2499,Rs. 2049,(18% OFF),White Shirt,https://www.myntra.com/shirts/kingdom+of+white/kingdom-of-white-pure-cotton-western-casual-stay-white-shirt/23289568/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23289568/2025/2/21/04bbcfb3-0184-4943-af16-ba4ce76a03c81740150370353-KINGDOM-OF-WHITE-Spread-Collar-Cotton-Casual-Shirt-921174015-1.jpg","|
99",N/A
white shirt,Roadster,Rs. 532,"4.2
|
15.2k",Men Casual Shirt,Rs. 1299,Rs. 532,(59% OFF),White Shirt,https://www.myntra.com/shirts/roadster/roadster-men-white-casual-shirt/10398123/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10398123/2019/12/3/52795871-cf37-46bd-a128-8d3479c767d81575349640658-Roadster-Men-Shirts-3221575349637459-1.jpg","|
15.2k",N/A
white shirt,Style Quotient,Rs. 599,"4.1
|
5.6k",Women Formal Shirt,Rs. 1499,Rs. 599,(60% OFF),White Shirt,https://www.myntra.com/shirts/style+quotient/style-quotient-women-white-formal-shirt/19761198/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19761198/2022/9/2/e05a447d-e6c7-4a5a-91ce-7b7972646f491662107951495StyleQuotientWomenWhiteClassicFormalShirt1.jpg","|
5.6k",N/A
white shirt,RARE RABBIT,Rs. 1799,"3.2
|
6",Checked Comfort Cotton Shirt,Rs. 3999,Rs. 1799,(55% OFF),White Shirt,https://www.myntra.com/shirts/rare+rabbit/rare-rabbit-checked-spread-collar-comfort-cotton-shirt/34794492/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/7/wNKhwSeM_2fb9a705409c4ba48ed33a57de148fbe.jpg","|
6",N/A
